name,price,description,category
Mobile Legends 100 Diamonds,25000,Get 100 diamonds for Mobile Legends,game
Mobile Legends 250 Diamonds,60000,Get 250 diamonds for Mobile Legends,game
Mobile Legends 500 Diamonds,115000,Get 500 diamonds for Mobile Legends,game
PUBG Mobile 60 UC,15000,Get 60 UC for PUBG Mobile,game
PUBG Mobile 325 UC,75000,Get 325 UC for PUBG Mobile,game
Free Fire 100 Diamonds,15000,Get 100 diamonds for Free Fire,game
Free Fire 310 Diamonds,45000,Get 310 diamonds for Free Fire,game
Steam Wallet IDR 60.000,65000,Steam Wallet code worth IDR 60.000,wallet
Steam Wallet IDR 120.000,125000,Steam Wallet code worth IDR 120.000,wallet
Google Play IDR 50.000,52000,Google Play gift card worth IDR 50.000,wallet
Google Play IDR 100.000,102000,Google Play gift card worth IDR 100.000,wallet
Netflix 1 Month,55000,Netflix subscription for 1 month,subscription
Spotify Premium 1 Month,55000,Spotify Premium subscription for 1 month,subscription
YouTube Premium 1 Month,59000,YouTube Premium subscription for 1 month,subscription
